%Frame Number	x (image)	y (image)	x (world)	y (world)	Area	Orientation	Compactness	TimeStamp (ms)
110	110.682	113.55	0	0	26.5	0.488268	0.465913	3703
111	110.732	113.63	0	0	29.5	0.458247	0.518658	3737
112	111.017	113.517	0	0	29	0.383089	0.459911	3770
113	111.183	113.604	0	0	30.5	0.384411	0.464174	3803
114	110.955	113.394	0	0	20.5	0.370046	0.383849	3837
115	111.601	113.43	0	0	21.5	0.299782	0.378005	3870
116	112.297	113.362	0	0	23	0.148131	0.411821	3903
117	112.702	113.391	0	0	21.5	0.0991738	0.429618	3937
118	114.357	113.532	0	0	21	0.0182173	0.400684	3970
119	114.174	113.594	0	0	23	0.0274628	0.438845	4004
120	115.75	113.743	0	0	24	0.0438787	0.488993	4037
121	116.881	113.563	0	0	21	0.0406096	0.400684	4070
122	119.595	113.563	0	0	21	0.01565	0.427869	4104
123	120.727	113.629	0	0	22	0.0381655	0.448243	4137
128	123.446	113.969	0	0	24.5	0.0565122	0.43075	4304
129	123.635	113.996	0	0	23.5	0.118146	0.379197	4337
130	124.212	114.41	0	0	18.5	0.223085	0.369671	4371
131	124.212	114.41	0	0	18.5	0.223085	0.369671	4404
132	125.124	114.338	0	0	19.5	0.23605	0.389654	4437
133	126.804	115.261	0	0	23	0.437096	0.450823	4471
134	128.573	116.321	0	0	20.5	0.506183	0.394227	4504
135	129.929	117.176	0	0	17.5	0.627782	0.336535	4537
136	130.224	117.462	0	0	17.5	0.636268	0.425508	4571
137	130.224	117.462	0	0	17.5	0.636268	0.425508	4604
138	131.509	118.466	0	0	19.5	0.639475	0.351817	4637
139	132.789	119.342	0	0	19	0.646729	0.409442	4671
140	133.5	120.313	0	0	20.5	0.677294	0.394227	4704
141	133.446	120.771	0	0	21.5	0.778079	0.441624	4738
142	133.5	121.81	0	0	21	0.997276	0.452541	4771
143	133.5	121.81	0	0	21	0.997276	0.452541	4804
144	133.104	121.923	0	0	18.5	0.999891	0.380002	4838
145	133.417	123.025	0	0	20	0.986458	0.430991	4871
146	133.325	123.767	0	0	20	1.03139	0.430991	4904
147	133.126	124.045	0	0	20.5	1.24563	0.421084	4938
148	133	125	0	0	23	1.4102	0.438845	4971
149	133	125	0	0	23	1.4102	0.438845	5005
150	132.321	125.419	0	0	20.5	1.49385	0.409636	5038
151	132.069	125.292	0	0	12	1.54866	0.244496	5071
152	131.63	124.917	0	0	18	1.56528	0.343444	5105
153	131.567	124.975	0	0	20	1.56885	0.381604	5138
154	131.5	124.754	0	0	21	1.5708	0.427869	5171
155	131.5	124.754	0	0	21	1.5708	0.427869	5205
156	131.517	124.38	0	0	19.5	1.56019	0.446751	5238
157	131.632	123.816	0	0	19	1.49614	0.398046	5271
158	131.667	123.5	0	0	19	1.49559	0.426412	5305
159	132.023	124.03	0	0	22	1.35871	0.460895	5338
160	132.391	124.109	0	0	23	1.24473	0.481845	5372
161	132.391	124.109	0	0	23	1.24473	0.481845	5405
162	132.826	124.204	0	0	22.5	1.10814	0.462165	5438
163	133.362	124.589	0	0	20.5	0.893037	0.46401	5472
164	133.647	124.655	0	0	21.5	0.798087	0.387901	5505
165	134.032	124.642	0	0	23.5	0.67655	0.423985	5538
166	134.446	124.153	0	0	24.5	0.402679	0.458747	5572
167	134.448	124.219	0	0	25.5	0.408627	0.448332	5605
168	134.909	123.803	0	0	22	0.233837	0.404325	5638
169	136.072	123.681	0	0	23	0.0552078	0.387219	5672
170	136.773	123.295	0	0	19.5	-0.0950552	0.365125	5705
171	137.219	122.816	0	0	19	-0.263399	0.349189	5739
172	136.815	122.482	0	0	18.5	-0.364534	0.406803	5772
173	136.85	122.56	0	0	19.5	-0.363266	0.428792	5805
174	136.977	122.113	0	0	18.5	-0.436511	0.436542	5839
175	136.833	122	0	0	18	-0.514798	0.377096	5872
176	136.645	121.38	0	0	19.5	-0.756018	0.365125	5905
177	136.783	121.094	0	0	23	2.29758	0.49564	5939
178	136.981	120.048	0	0	22.5	2.14426	0.421298	5972
179	136.981	120.048	0	0	22.5	2.14426	0.421298	6006
180	137.302	119.968	0	0	18.5	2.06252	0.380002	6039
181	138.126	118.167	0	0	20.5	2.03339	0.498453	6072
182	139.069	116.679	0	0	20.5	2.04341	0.483736	6106
183	139.575	116.017	0	0	20	2.05406	0.367568	6139
184	140.384	114.326	0	0	23	2.15953	0.450823	6172
185	140.384	114.326	0	0	23	2.15953	0.450823	6206
186	141.063	113.885	0	0	22.5	2.15956	0.432688	6239
187	141.579	113.643	0	0	21	2.27791	0.485273	6272
189	147.5	113.5	0	0	2	1.5708	0.785	6339
194	146.5	112.5	0	0	2	1.5708	0.785	6506
196	143.948	114.69	0	0	17.5	-0.0172825	0.384813	6573
197	143.948	114.69	0	0	17.5	-0.0172825	0.384813	6606
198	144.746	114.658	0	0	19	0.0872584	0.426412	6639
199	145.833	114.825	0	0	20	0.140472	0.448855	6673
200	146.026	115.053	0	0	19	0.174129	0.472005	6706
201	147.15	115.108	0	0	20	0.18415	0.418996	6740
202	147.725	115.653	0	0	18.5	0.238298	0.406803	6773
203	147.725	115.653	0	0	18.5	0.238298	0.406803	6806
204	149.637	116.312	0	0	19.5	0.226063	0.365125	6840
205	150.017	116.467	0	0	20	0.115742	0.418996	6873
206	150.595	116.3	0	0	17.5	0.0506237	0.412945	6906
207	152.49	116.066	0	0	16.5	-0.198143	0.362824	6940
208	153.805	116.033	0	0	17.5	-0.1961	0.384813	6973
209	153.805	116.033	0	0	17.5	-0.1961	0.307679	7007
210	154.485	115.659	0	0	22	-0.347265	0.47409	7040
211	154.539	115.275	0	0	21.5	-0.463456	0.472771	7073
212	155.411	114.219	0	0	22.5	-0.701415	0.363061	7107
213	156.228	113.614	0	0	19	-0.694507	0.372419	7140
214	156.556	112.23	0	0	21	2.13777	0.452541	7173
215	156.556	112.23	0	0	21	2.13777	0.452541	7207
216	156.874	111.118	0	0	20.5	2.00174	0.536878	7240
217	157.056	110.252	0	0	19.5	1.99902	0.510688	7273
218	158.004	108.868	0	0	19.5	2.0284	0.474138	7307
219	159.048	107.13	0	0	22.5	1.99632	0.462165	7340
220	159.467	106.321	0	0	20.5	2.00772	0.394227	7374
221	159.585	105.981	0	0	21.5	2.07495	0.486645	7407
222	159.585	105.981	0	0	21.5	2.07495	0.486645	7440
223	159.913	105.326	0	0	23	2.03424	0.450823	7474
224	160.456	104.991	0	0	26.5	2.13621	0.438321	7507
225	161.146	104.432	0	0	24.5	2.24939	0.471149	7540
226	161.806	104.316	0	0	24.5	2.33838	0.503246	7574
227	162.63	103.167	0	0	23	2.35437	0.397134	7607
228	162.63	103.167	0	0	23	2.35437	0.397134	7640
229	164.18	101.997	0	0	24.5	-0.754106	0.43075	7674
230	165.742	101.598	0	0	22	-0.629327	0.329229	7707
231	167.033	100.795	0	0	17.5	-0.579876	0.289457	7741
232	167.806	100.364	0	0	24.5	-0.530104	0.43075	7774
233	168.819	99.6407	0	0	22.5	-0.619201	0.49476	7807
234	168.819	99.6407	0	0	22.5	-0.619201	0.49476	7841
235	170.419	98.0481	0	0	22.5	-0.760863	0.306098	7874
236	171.307	97.0037	0	0	22.5	-0.781848	0.395587	7907
237	171.792	96.5972	0	0	24	2.23897	0.3508	7941
238	172.207	96.1585	0	0	20.5	2.17279	0.450781	7974
239	170.5	96.5	0	0	2	1.5708	0.785	8008
240	170.5	96.5	0	0	2	1.5708	0.785	8041
241	172.5	89.5	0	0	2	1.5708	0.785	8074
242	172.914	89.3951	0	0	54	1.67227	0.264613	8108
243	173.488	88.3979	0	0	55.5	1.76344	0.249381	8141
244	173.807	87.5712	0	0	51.5	1.79248	0.238833	8174
245	176.284	80.3301	0	0	25.5	-0.737662	0.490379	8208
246	176.284	80.3301	0	0	25.5	-0.737662	0.490379	8241
247	177.042	79.3333	0	0	20	-0.694546	0.402868	8274
248	179.285	77.5963	0	0	22.5	-0.716284	0.547082	8308
249	180.199	76.3269	0	0	26	-0.737415	0.477838	8341
250	181.232	75.7941	0	0	25.5	-0.733072	0.577183	8375
251	181.788	75.1144	0	0	25.5	-0.745907	0.577183	8408
252	181.788	75.1144	0	0	25.5	-0.745907	0.577183	8441
253	182.819	74.2305	0	0	23.5	-0.755401	0.451918	8475
254	182.819	74.2305	0	0	23.5	-0.755401	0.451918	8508
255	182.969	73.9558	0	0	24.5	2.34956	0.442027	8541
256	179.388	78.2754	0	0	47.5	2.22699	0.192308	8575
257	180.156	77.0816	0	0	49	2.21519	0.2434	8608
258	180.156	77.0816	0	0	49	2.21519	0.2434	8641
259	180.12	76.9891	0	0	53.5	2.17285	0.272055	8675
260	180.314	76.5691	0	0	55.5	2.16832	0.273047	8708
261	180.641	76.146	0	0	48.5	2.15214	0.211255	8742
262	181.134	75.7706	0	0	50.5	2.08569	0.219967	8775
263	181.529	75.3382	0	0	51.5	2.03946	0.224322	8808
264	181.639	75.1964	0	0	50.5	2.03128	0.219967	8842
265	182.086	75.0238	0	0	45.5	1.97766	0.189815	8875
266	184.31	68.4048	0	0	21	1.88392	0.439945	8908
267	184.11	66.9752	0	0	23.5	1.88703	0.413168	8942
268	184.028	65.9228	0	0	20.5	1.81653	0.294742	8975
271	183.81	63.4048	0	0	21	1.7007	0.427869	9075
273	183.276	63.0578	0	0	24.5	1.61149	0.489565	9142
274	183.174	63.063	0	0	22.5	1.59134	0.421298	9175
275	183.174	63.063	0	0	22.5	1.59134	0.421298	9209
276	182.996	63.7033	0	0	20.5	1.55281	0.383849	9242
277	184.121	68.4095	0	0	40.5	1.35207	0.185368	9275
278	183.885	67.2729	0	0	45.5	1.32945	0.214999	9309
279	183.747	67.1142	0	0	44.5	1.34266	0.183343	9342
280	183.412	66.9751	0	0	43.5	1.33331	0.222475	9376
281	182.485	65.7271	0	0	45.5	1.31842	0.201819	9409
282	182.485	65.7271	0	0	45.5	1.31842	0.201819	9442
283	181.541	64.3807	0	0	40.5	1.24997	0.174176	9476
284	178.964	57.9444	0	0	25.5	1.26727	0.477471	9509
285	177.882	56.4594	0	0	20.5	1.09383	0.450781	9542
287	175.373	54.6508	0	0	21	0.90349	0.452541	9609
288	175.373	54.6508	0	0	21	0.90349	0.452541	9642
289	174.325	54.1053	0	0	19	0.899346	0.349189	9676
290	173.777	53.0674	0	0	23.5	0.825223	0.413168	9709
291	172.351	52.1879	0	0	23.5	0.791028	0.496386	9743
292	171.568	51.5247	0	0	27	0.826497	0.509504	9776
293	171.294	51.4716	0	0	23.5	0.867357	0.423985	9809
294	171.25	51.375	0	0	24	0.88541	0.414401	9843
295	171.12	51.22	0	0	25	0.884208	0.431668	9876
296	170.965	51.0833	0	0	24	0.905893	0.441081	9909
297	171.049	51.0833	0	0	24	0.938203	0.441081	9943
