%Frame Number	x (image)	y (image)	x (world)	y (world)	Area	Orientation	Compactness	TimeStamp (ms)
0	97.7632	97.1491	0	0	19	1.43462	0.426412	0033
1	97.7846	97.0285	0	0	20.5	1.43551	0.409636	0066
2	97.7991	97.2778	0	0	19.5	1.42173	0.416739	0100
3	97.5638	96.8333	0	0	23.5	1.3959	0.440023	0133
4	97.5667	97.0407	0	0	22.5	1.37121	0.4496	0166
5	97.6333	96.8481	0	0	22.5	1.4018	0.421298	0200
6	97.5667	96.9074	0	0	22.5	1.35947	0.4496	0233
7	97.6489	96.961	0	0	23.5	1.40437	0.440023	0266
8	97.5426	96.9752	0	0	23.5	1.35176	0.469582	0300
9	97.6778	96.8481	0	0	22.5	1.39113	0.421298	0333
10	97.686	97.0659	0	0	21.5	1.37276	0.429618	0367
11	97.6778	96.8481	0	0	22.5	1.39113	0.421298	0400
12	97.6111	96.9963	0	0	22.5	1.35875	0.4496	0433
13	97.6778	96.8481	0	0	22.5	1.39113	0.421298	0467
14	97.686	97.0659	0	0	21.5	1.37276	0.429618	0500
15	97.6778	96.8481	0	0	22.5	1.39113	0.421298	0533
16	97.686	97.0659	0	0	21.5	1.37276	0.429618	0567
17	97.6489	96.961	0	0	23.5	1.40437	0.440023	0600
18	97.5851	97.1028	0	0	23.5	1.37231	0.469582	0633
19	97.5	97.022	0	0	26.5	1.40581	0.496196	0667
20	97.5204	97.0782	0	0	24.5	1.36502	0.489565	0700
21	97.4748	97.022	0	0	26.5	1.4222	0.496196	0734
22	97.4667	97.1133	0	0	25	1.39561	0.523744	0767
23	97.4748	97.022	0	0	26.5	1.4222	0.496196	0800
24	97.4667	97.1133	0	0	25	1.39561	0.523744	0834
25	97.5136	97.432	0	0	24.5	1.50533	0.458747	0867
26	97.5142	97.656	0	0	23.5	1.49465	0.469582	0900
27	97.3889	97.1148	0	0	22.5	1.55918	0.4496	0934
28	97.266	97.1454	0	0	23.5	1.51667	0.502224	0967
29	97.2755	96.9422	0	0	24.5	1.5301	0.489565	1001
30	97.266	97.1454	0	0	23.5	1.51667	0.502224	1034
31	97.2755	97.1054	0	0	24.5	1.55757	0.489565	1067
32	97.3837	97.345	0	0	21.5	1.55323	0.459482	1101
33	97.2143	97.2007	0	0	24.5	1.52683	0.523595	1134
34	97.266	97.1454	0	0	23.5	1.51667	0.502224	1167
35	97.2143	97.2007	0	0	24.5	1.52683	0.523595	1201
36	97.2143	96.9966	0	0	24.5	1.49442	0.523595	1234
37	94.399	92.2407	0	0	49.5	1.07976	0.206502	1267
38	94.3785	91.9931	0	0	48	1.07461	0.190308	1301
39	94.6481	92.0897	0	0	58.5	1.09503	0.280144	1334
40	94.8646	92.5938	0	0	48	1.10844	0.198485	1368
41	94.8968	92.7603	0	0	52.5	1.13204	0.212551	1401
42	95.3388	93.6612	0	0	45.5	1.16161	0.171661	1434
43	97.754	100.468	0	0	21	1.65189	0.400684	1468
44	97.8248	102.081	0	0	19.5	1.71524	0.389654	1501
45	97.8333	103.579	0	0	21	1.70677	0.471297	1534
46	98.2376	105.656	0	0	23.5	1.63024	0.502224	1568
47	98.2376	105.656	0	0	23.5	1.63024	0.502224	1601
48	97.9878	106.825	0	0	20.5	1.55119	0.421084	1634
49	98.04	107.26	0	0	25	1.52651	0.477005	1668
50	98.017	107.554	0	0	24.5	1.56125	0.489565	1701
51	98.0359	107.761	0	0	25.5	1.54995	0.477471	1735
52	98.0435	107.804	0	0	23	1.52736	0.450823	1768
53	98.0769	107.885	0	0	26	1.5475	0.509626	1801
54	98.5	108	0	0	20	1.5708	0.448855	1835
55	98.376	108.717	0	0	21.5	1.45012	0.507333	1868
56	98.9065	109.435	0	0	20.5	1.41058	0.43811	1901
57	99.0043	109.175	0	0	19.5	1.38062	0.416739	1935
58	99.2143	109.23	0	0	21	1.30556	0.439945	1968
59	99.2143	109.23	0	0	21	1.30556	0.439945	2002
60	99.5	103.5	0	0	2	0	0.785	2035
61	99.5571	103.983	0	0	52.5	1.42227	0.216303	2068
63	99.4929	104.755	0	0	47	1.31109	0.213139	2135
64	101.846	110.663	0	0	25.5	0.854554	0.490379	2168
65	101.846	110.663	0	0	25.5	0.854554	0.490379	2202
66	102.846	111.028	0	0	26.5	0.783995	0.50961	2235
67	103.379	111.006	0	0	29	0.661076	0.500735	2268
68	103.701	110.84	0	0	24	0.640483	0.452893	2302
69	104.079	110.456	0	0	26.5	0.645624	0.478111	2335
70	105.145	110.848	0	0	23	0.589789	0.49564	2369
71	105.145	110.848	0	0	23	0.589789	0.49564	2402
72	106.023	111.174	0	0	22	0.501049	0.47409	2435
73	107.003	111.35	0	0	24.5	0.448195	0.40524	2469
74	109.68	112.293	0	0	18.5	0.361435	0.380002	2502
75	111.008	112.54	0	0	21	0.329893	0.439945	2535
76	111.562	112.702	0	0	21.5	0.302359	0.472771	2569
77	111.667	112.705	0	0	22	0.284551	0.460895	2602
78	111.955	112.727	0	0	22	0.276975	0.49374	2635
79	112.273	112.791	0	0	23.5	0.260021	0.469582	2669
80	112.385	112.692	0	0	26	0.2471	0.496085	2702
81	112.385	112.692	0	0	26	0.2471	0.496085	2736
82	112.472	112.585	0	0	23.5	0.250777	0.440023	2769
83	112.432	112.643	0	0	24.5	0.245723	0.458747	2802
84	112.47	112.53	0	0	22.5	0.248488	0.4496	2836
85	112.909	112.591	0	0	22	0.220815	0.49374	2869
86	113.045	112.629	0	0	22	0.246653	0.460895	2902
87	112.891	112.645	0	0	23	0.219541	0.481845	2936
88	112.891	112.645	0	0	23	0.219541	0.481845	2969
89	112.833	112.701	0	0	24	0.208254	0.502795	3003
90	112.833	112.701	0	0	24	0.208254	0.502795	3036
91	112.752	112.711	0	0	24.5	0.192138	0.489565	3069
92	112.899	112.794	0	0	25.5	0.225025	0.477471	3103
93	113.327	112.897	0	0	26	0.23266	0.477838	3136
94	113.75	113.019	0	0	26	0.251308	0.509626	3169
95	113.815	113.093	0	0	27	0.26934	0.529227	3203
96	114.632	113.004	0	0	21.5	0.272168	0.441624	3236
97	115.8	113.142	0	0	20	0.287466	0.367568	3269
98	116.802	113.5	0	0	21	0.131031	0.37601	3303
99	117.833	113.74	0	0	25	0.143031	0.447631	3336
100	118.678	113.415	0	0	21.5	0.102332	0.429618	3370
101	118.678	113.415	0	0	21.5	0.102332	0.429618	3403
102	119.018	113.482	0	0	19	0.0327731	0.387119	3436
103	119.548	113.437	0	0	21	-0.00796719	0.427869	3470
104	120.15	113.449	0	0	19.5	0.00885123	0.416739	3503
105	121.455	113.379	0	0	22	0.00713197	0.419764	3536
106	115.504	112.859	0	0	45.5	0.105768	0.187463	3570
107	115.513	112.989	0	0	51.5	0.109208	0.205956	3603
108	122.167	113.667	0	0	27	-0.0180572	0.454561	3636
109	122.18	113.68	0	0	25	-0.085817	0.477005	3670
110	122.344	113.635	0	0	23.5	-0.0861285	0.440023	3703
111	123.241	113.641	0	0	22.5	0.00511989	0.421298	3737
112	124.044	113.465	0	0	19	0.0201699	0.426412	3770
113	124.106	113.659	0	0	22	0.029934	0.431222	3803
114	125.138	114.005	0	0	17.5	0.186885	0.373997	3837
115	126.252	114.517	0	0	19.5	0.262453	0.389654	3870
116	127.842	114.517	0	0	20	0.311167	0.39202	3903
117	128.955	115.516	0	0	20.5	0.490772	0.360424	3937
118	130.282	116.144	0	0	14.5	0.457734	0.352564	3970
119	130.167	116.134	0	0	15.5	0.448711	0.376879	4004
120	132.021	116.958	0	0	24	0.507944	0.483442	4037
121	132.587	117.478	0	0	23	0.468661	0.450823	4070
122	133.102	117.565	0	0	20.5	0.472748	0.421084	4104
123	133.431	117.819	0	0	24	0.542051	0.470424	4137
124	128.094	115.608	0	0	48	0.345549	0.202027	4170
125	128.094	115.608	0	0	48	0.345549	0.202027	4204
126	128.784	115.8	0	0	50.5	0.344925	0.241834	4237
127	128.69	115.617	0	0	50	0.320302	0.198237	4270
128	135.545	118.167	0	0	22	0.412222	0.404325	4304
129	136.864	118.19	0	0	21.5	0.345062	0.472771	4337
130	138.623	117.783	0	0	23	0.200266	0.422703	4371
131	138.623	117.783	0	0	23	0.200266	0.422703	4404
132	139.256	117.825	0	0	20.5	0.27137	0.258565	4437
133	142.283	117.435	0	0	23	0.0667594	0.438845	4471
134	144.252	117.312	0	0	19.5	-0.0233816	0.365125	4504
135	145.553	116.789	0	0	19	-0.0925423	0.372419	4537
136	146.802	116.548	0	0	21	-0.170777	0.439945	4571
137	146.802	116.548	0	0	21	-0.170777	0.439945	4604
138	147.663	116.484	0	0	20.5	-0.0720565	0.450781	4637
139	148.348	116.486	0	0	23	-0.121341	0.450823	4671
140	149.457	116.507	0	0	23	-0.12588	0.450823	4704
141	150.068	115.985	0	0	22	-0.127944	0.370383	4738
142	150.757	115.75	0	0	24	-0.15232	0.404054	4771
143	150.757	115.75	0	0	24	-0.15232	0.404054	4804
144	151.221	115.534	0	0	24.5	-0.181265	0.489565	4838
145	151.4	115.253	0	0	25	-0.257414	0.45946	4871
146	151.738	115.058	0	0	24.5	-0.299273	0.458747	4904
147	151.933	115.039	0	0	23.5	-0.324297	0.469582	4938
148	151.993	115.022	0	0	23	-0.33053	0.411821	4971
149	151.993	115.022	0	0	23	-0.33053	0.411821	5005
150	152.014	114.944	0	0	24	-0.340083	0.404054	5038
151	152.014	114.944	0	0	24	-0.340083	0.404054	5071
152	152.014	114.944	0	0	24	-0.340083	0.404054	5105
153	152.365	114.654	0	0	26	-0.392595	0.437725	5138
154	152.36	114.6	0	0	25	-0.389601	0.42089	5171
155	152.36	114.6	0	0	25	-0.389601	0.42089	5205
156	152.36	114.6	0	0	25	-0.389601	0.42089	5238
157	152.312	114.674	0	0	24	-0.378079	0.380616	5271
158	152.312	114.674	0	0	24	-0.378079	0.380616	5305
159	152.287	114.911	0	0	23.5	-0.318187	0.413168	5338
160	152.368	114.917	0	0	24	-0.30461	0.404054	5372
161	152.368	114.917	0	0	24	-0.30461	0.404054	5405
162	152.368	114.917	0	0	24	-0.30461	0.404054	5438
163	152.368	114.917	0	0	24	-0.30461	0.404054	5472
164	152.368	114.917	0	0	24	-0.30461	0.404054	5505
165	152.368	114.917	0	0	24	-0.30461	0.404054	5538
166	152.368	114.917	0	0	24	-0.30461	0.404054	5572
167	152.373	114.847	0	0	25	-0.309901	0.396475	5605
168	152.373	114.847	0	0	25	-0.309901	0.396475	5638
169	152.167	114.717	0	0	23	-0.333812	0.411821	5672
170	152.145	114.762	0	0	23.5	-0.346355	0.440023	5705
171	152.045	114.736	0	0	20.5	-0.330339	0.360424	5739
172	151.92	114.594	0	0	23	-0.328142	0.397134	5772
173	152.12	114.469	0	0	21.5	-0.380405	0.378005	5805
